"","celex","year","month","delegation.ratio","constraint.ratio","discretion.index"
"1","32006R0883",2006,0,0,0,0
"2","32006R1974",2006,0,0.137142857142857,0,0.137142857142857
"3","32007R0498",2007,0,0,0.25,0
"4","32014R1049",2014,0,0,0.166666666666667,0
"5","31963L0021",1963,1,0,0,0
"6","31964L0054",1964,1,0.4,0,0.4
"7","31965L0001",1965,1,0.333333333333333,0,0.333333333333333
"8","31967L0043",1967,1,0.210526315789474,0,0.210526315789474
"9","31969R0018",1969,1,0,0.0833333333333333,0
"10","31969R0019",1969,1,0,0.0833333333333333,0
"11","31969R0095",1969,1,0.05,0.0833333333333333,0.0458333333333333
"12","31969R0097",1969,1,0,0,0
"13","31969R0098",1969,1,0,0.0833333333333333,0
"14","31969R0103",1969,1,0,0.166666666666667,0
"15","31969R0144",1969,1,0,0,0
"16","31970L0050",1970,1,0.166666666666667,0,0.166666666666667
"17","31970R0037",1970,1,0,0.166666666666667,0
"18","31970R0059",1970,1,0,0,0
"19","31970R0107",1970,1,0,0.166666666666667,0
"20","31971L0018",1971,1,0.272727272727273,0.0833333333333333,0.25
"21","31972L0002",1972,1,0,0.0833333333333333,0
"22","31972R0055",1972,1,0.105263157894737,0,0.105263157894737
"23","31972R0073",1972,1,0,0,0
"24","31972R0100",1972,1,0.125,0.0833333333333333,0.114583333333333
"25","31973R0129",1973,1,0,0.0833333333333333,0
"26","31973R0136",1973,1,0.166666666666667,0.0833333333333333,0.152777777777778
"27","31973R0143",1973,1,0,0.25,0
"28","31973R0175",1973,1,0,0.166666666666667,0
"29","31973R0176",1973,1,0,0,0
"30","31973R0196",1973,1,0,0,0
"31","31973R0199",1973,1,0,0.0833333333333333,0
"32","31973R0205",1973,1,0,0.166666666666667,0
"33","31974L0007",1974,1,0,0,0
"34","31974L0013",1974,1,0,0,0
"35","31974R0059",1974,1,0,0.25,0
"36","31974R0075",1974,1,0,0,0
"37","31974R0076",1974,1,0,0,0
"38","31974R0152",1974,1,0,0,0
"39","31974R0153",1974,1,0,0,0
"40","31974R0154",1974,1,0,0,0
"41","31974R0155",1974,1,0,0,0
"42","31974R0156",1974,1,0,0,0
"43","31974R0162",1974,1,0,0.0833333333333333,0
"44","31975L0033",1975,1,0.25,0,0.25
